"RegionID","SizeRank","RegionName","RegionType","StateName","State","City","Metro","CountyName","2000-01-31","2000-02-29","2000-03-31","2000-04-30","2000-05-31","2000-06-30","2000-07-31","2000-08-31","2000-09-30","2000-10-31","2000-11-30","2000-12-31"
61639,0,"10025",Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,322791.0,327634.0,331518.0,339990.0,347639.0,354956.0,362657.0,368878.0,374332.0,379151.0,386573.0,394942.0
84654,1,"60657",Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,312893.0,314346.0,316319.0,320112.0,323988.0,327777.0,331690.0,336098.0,339936.0,343749.0,347684.0,352012.0
61637,2,"10023",Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,503959.0,507835.0,510557.0,517290.0,525285.0,536105.0,546601.0,555236.0,561048.0,568043.0,576333.0,586182.0
91982,3,"77494",Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,224754.0,225073.0,225797.0,227025.0,226587.0,226251.0,225130.0,225472.0,225074.0,225748.0,226921.0,228347.0
84616,4,"60614",Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,405296.0,406436.0,408589.0,412349.0,416897.0,421254.0,425844.0,430719.0,434873.0,439836.0,445142.0,450865.0
91940,5,"77449",Zip,TX,TX,Katy,Houston-The Woodlands-Sugar Land,Harris County,106621.0,106634.0,106437.0,106442.0,106473.0,106685.0,106839.0,107067.0,107448.0,107682.0,108134.0,108536.0
61616,6,"10002",Zip,NY,NY,New York,New York-Newark-Jersey City,New York County,411718.0,406316.0,406526.0,404637.0,409679.0,412600.0,417102.0,417863.0,417458.0,416597.0,415675.0,418293.0
91733,7,"77084",Zip,TX,TX,Houston,Houston-The Woodlands-Sugar Land,Harris County,106026.0,105970.0,105714.0,105662.0,105628.0,105795.0,105834.0,106020.0,106418.0,106744.0,107312.0,107912.0
93144,8,"79936",Zip,TX,TX,El Paso,El Paso,El Paso County,90480.0,90480.0,90513.0,90479.0,90498.0,90458.0,90443.0,90396.0,89865.0,89232.0,88364.0,88224.0
84640,9,"60640",Zip,IL,IL,Chicago,Chicago-Naperville-Elgin,Cook County,188795.0,189174.0,190363.0,192514.0,194902.0,197130.0,199272.0,202145.0,205342.0,209292.0,213640.0,217504.0
